timestamp,halow_rssi_dbm,halow_noise_dbm,halow_tx_rate_mbps,halow_rx_rate_mbps,halow_tx_bytes,halow_rx_bytes,halow_retries,halow_drops,halow_channel_active_ms,halow_channel_busy_ms,halow_channel_busy_pct
2025-12-06T13:23:53.972232,-24.0,-82.0,11.1,,4222804,451666,,2,,,
2025-12-06T13:23:57.352262,-24.0,-82.0,11.1,,4222804,451666,,2,,,
2025-12-06T13:24:00.430983,-24.0,-80.0,11.1,,4222804,451666,,2,,,
2025-12-06T13:24:04.058689,-24.0,-82.0,11.1,,4222804,451666,,2,,,
2025-12-06T13:24:07.536234,-24.0,-82.0,11.1,,4222804,451666,,2,,,
2025-12-06T13:24:10.610229,-22.0,-80.0,13.9,,4222890,451666,,2,,,
2025-12-06T13:24:13.691943,-23.0,-82.0,13.9,,4223234,451666,,2,,,
2025-12-06T13:24:17.485021,-23.0,-82.0,13.9,,4223234,451666,,2,,,
2025-12-06T13:24:20.549153,-23.0,-82.0,13.9,,4223234,451666,,2,,,
2025-12-06T13:24:23.777970,-23.0,-82.0,13.9,,4223234,451666,,2,,,
2025-12-06T13:24:26.995288,-23.0,-80.0,13.9,,4223234,451666,,2,,,
2025-12-06T13:24:30.414663,-23.0,-82.0,13.9,,4223234,451666,,2,,,
2025-12-06T13:24:33.671227,-23.0,-80.0,13.9,,4223234,451666,,2,,,
2025-12-06T13:24:37.135012,-23.0,-82.0,13.9,,4223234,451666,,2,,,
2025-12-06T13:24:40.375825,-23.0,-80.0,13.9,,4223234,451666,,2,,,
2025-12-06T13:24:43.919429,-23.0,-80.0,13.9,,4223234,451666,,2,,,
2025-12-06T13:24:47.097683,-23.0,-82.0,13.9,,4223234,451666,,2,,,
2025-12-06T13:24:50.158216,-23.0,-82.0,13.9,,4223234,451666,,2,,,
2025-12-06T13:24:53.512601,-21.0,-80.0,13.9,,4223406,451666,,2,,,
2025-12-06T13:24:56.581062,-21.0,-82.0,13.9,,4223492,451666,,2,,,
2025-12-06T13:24:59.607133,-21.0,-82.0,13.9,,4223492,451666,,2,,,
2025-12-06T13:25:02.816932,-24.0,-80.0,13.9,,4223492,451680,,2,,,
2025-12-06T13:25:05.999034,-24.0,-78.0,13.9,,4223492,451680,,2,,,
2025-12-06T13:25:09.536118,-24.0,-82.0,13.9,,4223492,451680,,2,,,
2025-12-06T13:25:12.838957,-24.0,-82.0,13.9,,4223492,451680,,2,,,
2025-12-06T13:25:15.899386,-20.0,-80.0,13.9,,4223750,451680,,2,,,
2025-12-06T13:25:18.924451,-21.0,-82.0,13.9,,4223922,451680,,2,,,
2025-12-06T13:25:22.857007,-22.0,-84.0,11.1,,4224180,451680,,2,,,
2025-12-06T13:25:25.913944,-22.0,-84.0,11.1,,4224180,451680,,2,,,
2025-12-06T13:25:28.940499,-22.0,-82.0,11.1,,4224180,451680,,2,,,
2025-12-06T13:25:32.001733,-22.0,-80.0,11.1,,4224180,451680,,2,,,
2025-12-06T13:25:35.694005,-22.0,-82.0,11.1,,4224180,451680,,2,,,
2025-12-06T13:25:38.889028,-22.0,-80.0,11.1,,4224180,451680,,2,,,
2025-12-06T13:25:41.980432,-22.0,-80.0,11.1,,4224180,451680,,2,,,
2025-12-06T13:25:45.085468,-22.0,-78.0,13.9,,4224438,451680,,2,,,
2025-12-06T13:25:49.155720,-22.0,-82.0,13.9,,4224438,451680,,2,,,
2025-12-06T13:25:52.979050,-22.0,-80.0,13.9,,4224438,451680,,2,,,
2025-12-06T13:25:56.116193,-22.0,-80.0,13.9,,4224438,451680,,2,,,
2025-12-06T13:25:59.296276,-22.0,-78.0,13.9,,4224524,451680,,2,,,
